Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
32071,Sons and Lovers,D.H. Lawrence,"Lawrence, D.H.",Geoff Dyer,"=""0375753737""","=""9780375753732""",0,3.63,Modern Library Classics,Paperback,654,1999,1913,,2012/09/21,to-read,to-read (#7),to-read,,,,0,,,0,,,,,
11012,Dubliners,James Joyce,"Joyce, James",Jeri Johnson,"=""0192839993""","=""9780192839992""",0,3.85,Oxford University Press,Paperback,207,2001,1914,,2013/10/10,to-read,to-read (#6),to-read,,,,0,,,0,,,,,
835509,The Origin of Species,Charles Darwin,"Darwin, Charles",J.W. Burrow,"=""0140432051""","=""9780140432053""",0,3.98,Penguin Classics,Paperback,480,1982,1859,,2017/12/11,to-read,to-read (#235),to-read,,,,0,,,0,,,,,
28862,The Prince,Niccolò Machiavelli,"Machiavelli, Niccolò","Rufus Goodwin, Benjamin Martinez","=""0937832383""","=""9780937832387""",5,3.82,Dante University of America Press,Paperback,140,2003,1532,2013/05/19,2010/10/16,,,read,,,,1,,,0,,,,,
24280,Les Misérables,Victor Hugo,"Hugo, Victor","Lee Fahnestock, Norman MacAfee","=""""","=""""",4,4.18,Signet Classics,Mass Market Paperback,1463,1987,1862,,2010/10/13,,,read,,,,1,,,1,,,unspecified,,
86917,The Jungle,Upton Sinclair,"Sinclair, Upton",Jane Jacobs,"=""0375759506""","=""9780375759505""",0,3.74,Modern Library,Paperback,416,2002,1906,,2013/10/10,to-read,to-read (#224),to-read,,,,0,,,0,,,,,
2745816,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""""","=""""",5,4.07,Dell,Paperback,215,1976,1969,2012/03/09,2010/10/13,,,read,,,,1,,,0,,,,,
16981,Invisible Man,Ralph Ellison,"Ellison, Ralph",,"=""""","=""""",0,3.88,Vintage,Paperback,581,1995,1952,,2012/12/26,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
3836,Don Quixote,Miguel de Cervantes Saavedra,"Saavedra, Miguel de Cervantes","John Rutherford, Roberto González Echevarría","=""0142437239""","=""9780142437230""",0,3.88,Penguin Books,Paperback,1023,2003,1605,,2013/10/10,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
10799,A Farewell to Arms,Ernest Hemingway,"Hemingway, Ernest",,"=""0099910101""","=""9780099910107""",5,3.81,Arrow Books,Paperback,293,2004,1929,2012/02/25,2010/10/16,,,read,,,,2,,,0,,,,,
77013,As I Lay Dying,William Faulkner,"Faulkner, William",,"=""067973225X""","=""9780679732259""",0,3.72,Vintage,Paperback,288,1991,1930,,2013/10/10,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
1635027,Animal Farm,George Orwell,"Orwell, George","Russell Baker, C.M. Woodhouse","=""0451519000""","=""9780451519009""",3,3.94,Signet Classics,Paperback,140,1956,1945,2013/04/23,2010/10/13,,,read,,,,1,,,0,,,,,
3180341,Brave New World,Aldous Huxley,"Huxley, Aldous","Roy Blatchford, Linda Cookson, Robert Southwick","=""0582060168""","=""9780582060166""",5,3.99,Longman Publishing Group,Paperback,246,2001,1932,2012/12/19,2012/06/08,,,read,,,,1,,,0,,,,,
24213,Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll,"Carroll, Lewis","John Tenniel, Martin Gardner","=""0451527747""","=""9780451527745""",4,4.06,Penguin Group (USA),Paperback,239,2000,1871,,2010/10/13,,,read,,,,1,,,1,,,unspecified,,
48855,The Diary of a Young Girl,Anne Frank,"Frank, Anne","Eleanor Roosevelt, B.M. Mooyaart-Doubleday","=""""","=""""",2,4.15,Bantam,Mass Market Paperback,283,1993,1947,2015/08/11,2010/10/13,,,read,,,,1,,,0,,,,,
8016155,Lord of the Flies,William Golding,"Golding, William",Edmund L. Epstein,"=""""","=""""",3,3.68,Perigee / Penguin Group (USA),Paperback,208,2006,1954,2015/08/21,2013/10/10,,,read,,,,1,,,0,,,,,
338798,Ulysses,James Joyce,"Joyce, James","Morris L. Ernst, John M. Woolsey","=""""","=""""",0,3.73,Vintage,Paperback,783,1990,1922,,2010/10/13,to-read,to-read (#11),to-read,,,,0,,,0,,,,,
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",2,3.81,Back Bay Books,Paperback,277,2001,1951,,2010/10/13,time-wasted,time-wasted (#18),read,,,,1,,,1,,,unspecified,,
28042279,The Night in Lisbon,Erich Maria Remarque,"Remarque, Erich Maria",,"=""""","=""""",5,4.27,Crest Books,Paperback,208,1964,1962,2018/04/25,2018/04/18,,,read,,,,1,,,0,,,,,
